Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Petroleum Engineering,Bachelors,93200,187300,67
Operations Research & Industrial Engineering,Bachelors,84800,170400,28
Electrical Engineering & Computer Science (EECS),Bachelors,108500,159300,46
Interaction Design,Bachelors,68300,155800,55
Public Accounting,Bachelors,59800,147700,47
Operations Research,Bachelors,83500,147400,54
Applied Economics and Management,Bachelors,66100,146400,67
Business Computing (BC),Bachelors,73000,143600,
Actuarial Mathematics,Bachelors,64300,143400,51
Electrical Power Engineering,Bachelors,76100,142600,68
Information & Computer Science,Bachelors,58600,140900,62
Aeronautics & Astronautics,Bachelors,77600,139600,56
Systems Engineering,Bachelors,77700,139200,53
Econometrics,Bachelors,64200,139000,35
Pharmacy,Bachelors,68600,138700,78
Aerospace Studies,Bachelors,55800,136600,
Building Science,Bachelors,53800,135900,53
Chemical Engineering,Bachelors,76900,135900,55
Cognitive Science,Bachelors,68700,135200,42
Actuarial Science,Bachelors,67700,134400,43
Political Economy,Bachelors,65100,133500,29
Computer Systems Engineering,Bachelors,79000,133200,51
Electrical & Computer Engineering (ECE),Bachelors,78100,131600,49
Computer Science (CS) & Engineering,Bachelors,79400,131300,44
Marine Engineering,Bachelors,79900,131300,60
Aeronautical Engineering,Bachelors,74700,131100,66
Computer Engineering (CE),Bachelors,79000,131000,46
Naval Architecture & Marine Engineering,Bachelors,74400,130700,49
Entrepreneurship & Marketing,Bachelors,51400,129800,45
Corporate Accounting & Finance,Bachelors,65200,129700,55
Mechatronics,Bachelors,72800,129600,48
Nuclear Engineering,Bachelors,76400,129400,62
Electrical Engineering (EE),Bachelors,75600,127700,54
Foreign Affairs,Bachelors,54800,127700,36
Marine Transportation Management,Bachelors,71100,127500,
Mechanical & Aeronautical Engineering,Bachelors,70900,126900,60
Welding Engineering,Bachelors,81000,126600,56
Instrumentation & Control Engineering,Bachelors,73100,126400,
Computational & Applied Mathematics,Bachelors,75500,126000,45
Electrical & Electronics Engineering (EEE),Bachelors,74700,125800,56
Aerospace Engineering,Bachelors,74300,125700,55
Astronomy,Bachelors,66600,125400,47
Optical Science & Engineering,Bachelors,71000,125400,
Quantitative Business Analysis,Bachelors,74000,125400,37
Computer Science (CS) & Mathematics,Bachelors,70500,125100,43
Industrial & Systems Engineering,Bachelors,73100,124800,48
Economics and Mathematics,Bachelors,68200,124100,35
Biomedical Engineering (BME),Bachelors,71300,123600,72
Managerial Economics,Bachelors,65200,123600,41
Computer Science (CS),Bachelors,75100,123400,42
Physics & Astronomy,Bachelors,56500,123400,36
Petroleum Land Management,Bachelors,59300,123100,
Bioscience,Bachelors,49200,123100,
Electronics & Communications Engineering,Bachelors,67400,122900,51
Control Engineering,Bachelors,69700,122800,61
Pharmacology,Bachelors,57700,122700,
Business Analysis,Bachelors,63200,122300,46
Aeronautical Science & Engineering,Bachelors,56000,122200,50
Metallurgical Engineering,Bachelors,81800,122200,61
Engineering Science,Bachelors,67900,122100,45
Applied Mathematics,Bachelors,68300,122000,40
Chemical & Biomolecular Engineering,Bachelors,76800,121900,48
Materials Science,Bachelors,67100,121800,
Engineering,Bachelors,69900,121700,59
Ocean Engineering (OE),Bachelors,69400,121400,51
Bioengineering (BioE),Bachelors,70900,121300,67
Aeronautical/Aerospace Engineering Technology,Bachelors,76900,121200,53
Integrated Science & Technology,Bachelors,65200,121100,56
Operations Management & Information Systems,Bachelors,66100,120900,38
Software Engineering,Bachelors,75000,120000,43
Physics,Bachelors,65900,119700,48
Quantitative Economics,Bachelors,65000,119600,43
Computer & Information Science,Bachelors,63600,119500,55
Geophysics,Bachelors,58000,119000,47
Accounting & Economics,Bachelors,65900,118900,44
Physician Assistant Studies,Bachelors,95900,118500,84
Mining Engineering,Bachelors,78800,118300,64
Construction Engineering Management,Bachelors,68800,118200,57
Mechanical Engineering (ME),Bachelors,71000,117600,50
Materials Science & Engineering,Bachelors,72700,117500,47
Engineering Mechanics,Bachelors,75500,117400,
Industrial Engineering (IE),Bachelors,71900,117400,44
International Business & Finance,Bachelors,61400,117400,31
Accounting & Computer Systems,Bachelors,63000,117300,37
Business & Information Technology (IT),Bachelors,60100,116900,44
Applied Physics,Bachelors,67300,116500,52
International Economics,Bachelors,58700,116300,48
Business & Economics,Bachelors,59600,116200,46
Ceramic Engineering,Bachelors,69200,115700,
Economics,Bachelors,62000,115700,41
Pharmaceutical Sciences (PS),Bachelors,52800,115700,69
Telecommunications Engineering,Bachelors,66400,115400,47
Information & Decision Sciences,Bachelors,65200,115200,33
Materials Engineering,Bachelors,72300,115200,58
Paper Science,Bachelors,77000,115200,39
Asian Studies,Bachelors,47700,115100,41
Structural Engineering (SE),Bachelors,67800,115100,66
Industrial Distribution,Bachelors,63600,115000,48
Management Information Systems (MIS),Bachelors,65000,114100,42
Electronics Engineering,Bachelors,69600,113900,66
Finance & Economics,Bachelors,62600,113900,42
Medical Science,Bachelors,52000,113800,
Japanese Studies,Bachelors,51500,113800,21
Automotive Engineering,Bachelors,67300,113800,48
Information Management,Bachelors,64300,112800,38
Management Science,Bachelors,64600,112700,43
Mechanical,Bachelors,70200,112700,54
Construction Engineering,Bachelors,67300,112500,59
Finance & Investments,Bachelors,64100,112400,44
Mathematics & Statistics,Bachelors,63100,112400,43
Information Systems Management,Bachelors,59200,112300,49
Construction Project Management,Bachelors,61100,112200,58
Engineering Management,Bachelors,69000,112200,57
Packaging Science,Bachelors,70000,112200,35
Industrial Engineering & Management,Bachelors,68300,112000,55
Engineering Physics,Bachelors,70500,111800,50
Energy Management,Bachelors,72300,111700,71
Aeronautical Science,Bachelors,57700,111600,57
Government,Bachelors,55100,111200,47
Software Applications & Programming,Bachelors,59300,110800,45
Astrophysics,Bachelors,69300,110700,64
Bioenvironmental Science,Bachelors,47700,110500,
Japanese Language,Bachelors,53300,110300,42
Business Economics,Bachelors,58400,110200,43
Finance & Real Estate,Bachelors,63000,110200,44
Manufacturing Engineering,Bachelors,69300,110000,47
Atmospheric Science,Bachelors,48700,109900,55
Cybersecurity,Bachelors,65600,109800,55
Information Security & Assurance,Bachelors,61400,109300,47
Medicine,Bachelors,60600,109200,92
Civil Engineering (CE),Bachelors,65000,109000,65
Environmental Health & Safety Management,Bachelors,61100,108800,61
Mathematics,Bachelors,63500,108700,45
Applied Economics,Bachelors,61400,108600,38
Construction Science,Bachelors,67400,108500,63
Political Communication,Bachelors,48800,108500,55
Marketing & International Business,Bachelors,52500,108400,34
Software Development,Bachelors,65500,108400,45
Biochemistry & Molecular Biology,Bachelors,53900,108100,71
Computing,Bachelors,63500,108000,53
Construction Management,Bachelors,63200,108000,58
Accounting & Taxation,Bachelors,55600,107800,41
Building Construction (BC),Bachelors,67200,107800,52
International & Comparative Politics,Bachelors,45700,107800,53
Civil & Environmental Engineering,Bachelors,65300,107500,67
Business Information Systems,Bachelors,65000,107400,43
Financial Economics,Bachelors,63300,107200,41
Sales & Business Marketing,Bachelors,55900,107200,51
